finger	dirX	dirY	dirZ	group	w_f	w_b	subj_id	mapping	cond_vec
4	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			101	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			101	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			101	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			101	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			101	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			102	off	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			102	off	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			102	off	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			102	off	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
3	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
3	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
3	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
4	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
4	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
4	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
4	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
4	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
4	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
0	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
0	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
0	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
0	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
1	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
1	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
1	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
1	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
2	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
2	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.9999999999989999	0.0	stroke			103	on	0,0,0
2	0.0	0.0	-0.9999999999989999	stroke			103	on	0,0,0
2	0.0	0.0	0.9999999999989999	stroke			103	on	0,0,0
3	-0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.9999999999989999	0.0	0.0	stroke			103	on	0,0,0
3	0.0	-0.9999999999989999	0.0	stroke			103	on	0,0,0
